t,avg_biomass,coop_rate,avg_payoff
325,6.323882498940471e-07,0.0,6906.16
326,6.090572272101872e-07,0.0,6930.8
327,5.874375366151495e-07,0.0,6955.8
328,5.613619248567827e-07,0.0,6971.64
329,5.372216360995383e-07,0.0,6987.4
330,5.174016463175132e-07,0.0,7011.76
331,4.990354540379257e-07,0.0,7036.12
332,4.768839011015489e-07,0.0,7052.44
333,4.56376428774664e-07,0.0,7068.2
334,4.3953910389580384e-07,0.0,7094.76
335,4.239367977982548e-07,0.0,7122.0
336,4.051187805816212e-07,0.0,7138.48
337,3.876974300426299e-07,0.0,7154.16
338,3.7339391522712193e-07,0.0,7178.32
339,3.6013956402927134e-07,0.0,7202.48
340,3.441534261153643e-07,0.0,7218.52
341,3.2935377373982155e-07,0.0,7234.28
342,3.1720276146751175e-07,0.0,7258.28
343,3.059430265976999e-07,0.0,7282.44
344,2.923626048381547e-07,0.0,7298.44
345,2.797901171771509e-07,0.0,7314.68
346,2.6946768214571227e-07,0.0,7338.68
347,2.5990239825465406e-07,0.0,7362.84
348,2.483656619101157e-07,0.0,7379.16
349,2.3768517803237065e-07,0.0,7394.88
350,2.2891614179660748e-07,0.0,7419.24
351,2.2079031480284065e-07,0.0,7444.68
352,2.1098971436873746e-07,0.0,7460.52
353,2.0191651099507754e-07,0.0,7476.56
354,1.9446710613483328e-07,0.0,7500.6
355,1.8756411547771188e-07,0.0,7524.64
356,1.7923838390420115e-07,0.0,7540.52
357,1.715305851394629e-07,0.0,7556.28
358,1.6520222338926065e-07,0.0,7580.32
359,1.5933804726762247e-07,0.0,7604.96
360,1.5226523500295059e-07,0.0,7621.2
361,1.4571736431695724e-07,0.0,7637.12
362,1.4034134252199482e-07,0.0,7661.16
363,1.353596521692793e-07,0.0,7685.52
364,1.2935121034895698e-07,0.0,7701.4
365,1.2378871291000838e-07,0.0,7717.92
366,1.192217156752382e-07,0.0,7742.28
367,1.149897078900007e-07,0.0,7766.44
368,1.0988546193706792e-07,0.0,7782.8
369,1.0516005127031656e-07,0.0,7798.52
370,1.0128033040872053e-07,0.0,7822.52
371,9.768518724093568e-08,0.0,7846.56
372,9.334906688021278e-08,0.0,7862.4
373,8.933477179910014e-08,0.0,7878.96
374,8.603890072822512e-08,0.0,7903.12
375,8.2984781941259e-08,0.0,7927.28
376,7.930119379574551e-08,0.0,7942.96
377,7.589100022326009e-08,0.0,7960.12
378,7.30911167866789e-08,0.0,7985.12
379,7.049660491811676e-08,0.0,8010.56
380,6.736735098623807e-08,0.0,8026.6
381,6.44703491418631e-08,0.0,8043.48
382,6.209181335312807e-08,0.0,8068.12
383,5.988774326345435e-08,0.0,8092.28
384,5.722940312839034e-08,0.0,8108.44
385,5.4768364029049175e-08,0.0,8124.2
386,5.274776829706341e-08,0.0,8149.2
387,5.087538334519044e-08,0.0,8173.24
388,4.861709033002468e-08,0.0,8189.4
389,4.652640699828953e-08,0.0,8205.48
390,4.480988578973852e-08,0.0,8229.84
391,4.3219271481844865e-08,0.0,8253.88
392,4.130082346633595e-08,0.0,8269.8
393,3.9524761961765054e-08,0.0,8285.8
394,3.806655583884849e-08,0.0,8309.8
395,3.67153091940567e-08,0.0,8333.96
396,3.5085563730438925e-08,0.0,8350.68
397,3.3576777379351324e-08,0.0,8366.52
398,3.2338013132347325e-08,0.0,8390.52
399,3.119011229265379e-08,0.0,8415.96
400,2.98056232368696e-08,0.0,8434.4
401,2.8523890452348634e-08,0.0,8451.76
402,2.70067063547226e-08,0.0,8476.48
403,2.603271240221928e-08,0.0,8501.12
404,2.4891811119504316e-08,0.0,8518.08
405,2.383552437321078e-08,0.0,8534.32
406,2.2942533339276485e-08,0.0,8558.96
407,2.211511335278589e-08,0.0,8582.96
408,2.114590350975892e-08,0.0,8600.12
409,2.0248574768655356e-08,0.0,8616.44
410,1.948996776877289e-08,0.0,8640.8
411,1.878706418983243e-08,0.0,8664.96
412,1.7963708361249666e-08,0.0,8681.12
413,1.720141642357951e-08,0.0,8697.2
414,1.655697033267963e-08,0.0,8721.56
